Date,Open,High,Low,Close
2017-03-09,114.41,114.96,114.35,114.93
2017-03-10,114.93,115.49,114.65,114.75
2017-03-13,114.73,114.9,114.47,114.85
2017-03-14,114.82,115.18,114.52,114.74
2017-03-15,114.73,114.89,113.16,113.38
2017-03-16,113.37,113.51,112.91,113.29
2017-03-17,113.3,113.49,112.55,112.7
2017-03-20,112.68,112.86,112.45,112.56
2017-03-21,112.56,112.85,111.55,111.71
2017-03-22,111.68,111.78,110.73,111.15
2017-03-23,111.16,111.56,110.6,110.91
2017-03-24,110.94,111.46,110.62,111.23
2017-03-27,110.96,110.96,110.09,110.65
2017-03-28,110.57,111.18,110.17,111.13
2017-03-29,111.06,111.29,110.72,111.04
2017-03-30,111.0,111.91,110.93,111.91
2017-03-31,111.83,112.18,111.22,111.39
2017-04-03,111.38,111.55,110.86,110.9
2017-04-04,110.9,110.91,110.28,110.73
2017-04-05,110.68,111.41,110.54,110.7
2017-04-06,110.69,111.1,110.3,110.8
2017-04-07,110.76,111.33,109.99,111.06
2017-04-10,111.11,111.54,110.81,110.92
2017-04-11,110.85,110.87,109.59,109.63
2017-04-12,109.61,109.86,108.98,108.98
2017-04-13,108.95,109.35,108.73,109.09
2017-04-14,109.09,109.18,108.55,108.59
2017-04-17,108.56,109.01,108.13,108.91
2017-04-18,108.91,109.18,108.32,108.43
2017-04-19,108.44,109.14,108.37,108.85
2017-04-20,108.84,109.46,108.72,109.29
2017-04-21,109.29,109.41,108.88,109.13
2017-04-24,110.11,110.31,109.66,109.74
2017-04-25,109.72,111.16,109.6,111.1
2017-04-26,111.08,111.74,110.88,111.03
2017-04-27,111.09,111.56,111.01,111.25
2017-04-28,111.21,111.68,111.07,111.47
2017-05-01,111.4,111.89,111.21,111.8
2017-05-02,111.8,112.27,111.79,111.99
2017-05-03,111.99,112.74,111.97,112.73
2017-05-04,112.71,113.01,112.32,112.44
2017-05-05,112.44,112.75,112.09,112.75
2017-05-08,112.75,113.26,112.4,113.24
2017-05-09,113.25,114.29,113.14,114.0
2017-05-10,113.97,114.32,113.63,114.26
2017-05-11,114.26,114.33,113.46,113.88
2017-05-12,113.86,113.91,113.19,113.32
2017-05-15,113.31,113.81,113.21,113.75
2017-05-16,113.65,113.73,112.9,113.09
2017-05-17,113.08,113.11,110.79,110.8
2017-05-18,110.77,111.69,110.24,111.48
2017-05-19,111.48,111.66,111.05,111.23
2017-05-22,111.18,111.57,110.94,111.27
2017-05-23,111.27,111.82,110.87,111.78
2017-05-24,111.76,112.08,111.48,111.5
2017-05-25,111.51,111.91,111.49,111.83
2017-05-26,111.79,111.83,110.88,111.29
2017-05-29,111.17,111.43,111.17,111.26
2017-05-30,111.28,111.31,110.67,110.81
2017-05-31,110.81,111.18,110.48,110.75
2017-06-01,110.75,111.44,110.68,111.36
2017-06-02,111.36,111.67,110.32,110.42
2017-06-05,110.49,110.71,110.32,110.47
2017-06-06,110.48,110.49,109.23,109.4
2017-06-07,109.37,109.84,109.1,109.79
2017-06-08,109.79,110.34,109.38,110.01
2017-06-09,109.97,110.77,109.8,110.26
2017-06-12,110.28,110.4,109.63,109.93
2017-06-13,109.88,110.23,109.82,110.06
2017-06-14,110.03,110.3,108.67,109.56
2017-06-15,109.58,110.96,109.28,110.91
2017-06-16,110.83,111.38,110.65,110.86
2017-06-19,110.84,111.56,110.78,111.51
2017-06-20,111.51,111.76,111.31,111.43
2017-06-21,111.42,111.69,111.07,111.36
2017-06-22,111.4,111.41,110.95,111.29
2017-06-23,111.29,111.39,111.15,111.27
2017-06-26,111.17,111.91,111.17,111.85
2017-06-27,111.85,112.46,111.46,112.33
2017-06-28,112.31,112.37,111.83,112.29
2017-06-29,112.28,112.89,111.82,112.14
2017-06-30,112.12,112.56,111.74,112.46
2017-07-03,112.32,113.43,112.19,113.39
2017-07-04,113.43,113.43,112.75,113.24
2017-07-05,113.24,113.66,112.83,113.23
